"NUTS_ID","pop_95","pop_21","pop_50","k_95","k_19","CNTR_CODE","ISO","emi_hist","pop_2000","eu_nhbc","eu_nhb","eu_pcc_nhb","eu_epc_s"
"FR10",10858975,12117132,13471900,255.7313575991834,390.5311468168181,"FR","FRA",2501176626.607117,11019991,-17.40831688019098,-17.457367824464853,-16.756994510219798,0.31091481566584367
"FRB0",2418315,2577866,2436435,190.07946993037146,290.27317602007633,"FR","FRA",415502410.5238765,2450121,-3.38973480642143,-3.399521318457074,-3.2597847247835166,0.145558485500346
"FRC1",1615509,1637941,1495238,144.1892413607161,220.19352775463952,"FR","FRA",260709880.97212586,1612818,-2.1524473016552754,-2.1586719366438962,-2.069793561283691,0.09614854534151118
"FRC2",1111540,1180397,1126458,90.25041761935783,137.8227505006493,"FR","FRA",186971484.16349575,1121512,-1.5552122654020253,-1.5597143698413822,-1.4954311260843582,0.07113423741947017
"FRD1",1408316,1477349,1370197,94.949229906214,144.99837639295384,"FR","FRA",227289204.66294578,1426928,-1.9297765577956933,-1.9353784781415773,-1.8553915262721723,0.09386898093684143
"FRD2",1771034,1858580,1783414,123.84335347894788,189.12302078956517,"FR","FRA",297303305.2661289,1784575,-2.4689817782041485,-2.476127540432505,-2.3740968609263806,0.11236336085712229
"FRE1",3986346,4074448,3984575,214.4715694558535,327.52271276201435,"FR","FRA",610277353.2960908,3997864,-5.468837998477703,-5.484824766120863,-5.256557897785176,0.306244298721956
"FRE2",1846150,1932422,1851569,164.603501103015,251.36844640138526,"FR","FRA",305670450.2359332,1862938,-2.566528005984447,-2.5739672059981142,-2.4677466786253413,0.12081900894723119
"FRF1",1687475,1884150,1996307,112.7018081805456,172.10860181668258,"FR","FRA",317837546.91000885,1743955,-2.5943710419819115,-2.6018618226215815,-2.494904801904608,0.11160903041057246
"FRF2",1350114,1333248,1226221,110.13698684833011,168.1918251427001,"FR","FRA",211387042.76220417,1342007,-1.7745548275274219,-1.779698326186248,-1.7062569428281007,0.08348981997598959
"FRF3",2315488,2337788,2222723,191.64281881827517,292.6605892798329,"FR","FRA",370768216.5251058,2314909,-3.1326258714995725,-3.1417135787071278,-3.0119548613151377,0.15023018720713116
"FRG0",3145757,3737632,4063404,201.35206129479087,307.48771738282915,"FR","FRA",572865997.8703772,3248994,-5.023602062963356,-5.038246911203387,-4.829140622826596,0.2667233926872534
"FRH0",2840680,3306529,3464268,168.16059097524004,256.80053107090714,"FR","FRA",505963188.78402615,2927612,-4.396420305552903,-4.409221593525535,-4.226438558117747,0.22793486131082752
"FRI1",2855720,3393297,3824516,216.3180479713395,330.342497472795,"FR","FRA",525333510.51377565,2933223,-4.63847296022444,-4.652006969464739,-4.458761782303279,0.25057146191216895
"FRI2",716942,736015,690825,47.79061566748284,72.98175757138148,"FR","FRA",113684705.8160866,713249,-0.9682829907917345,-0.9710949890784492,-0.930943905569817,0.047527202228007076
"FRI3",1619284,1806291,1763131,129.09702971088007,197.14598763697256,"FR","FRA",273800456.2493453,1650378,-2.351453726054882,-2.3582901046643316,-2.2606769554168795,0.1181292419116392
"FRJ1",2209034,2793303,3138368,187.08469478289564,285.6998105017369,"FR","FRA",394768829.8181845,2322072,-3.7182992557162686,-3.7292351094709195,-3.5730876539708,0.2321838458672073
"FRJ2",2494806,3015132,3381300,186.73187845131096,285.1610194520862,"FR","FRA",466347318.62749213,2578254,-4.093666553667641,-4.105602004105142,-3.9351818194651567,0.21791225133236092
"FRK1",1312232,1363392,1356340,97.47898874584966,148.86160861479715,"FR","FRA",213654810.40115398,1312227,-1.837894545303025,-1.8432389971139576,-1.7669283066052095,0.09274269985364952
